Time,x,y,z,
3.472,-0.0001917,-0.0004054,-3.176e-05,
3.483,-0.0002093,-0.000493,-2.44e-05,
3.5,-0.0002097,-0.0003534,-7.7e-05,
3.503,-0.0001988,-0.0003822,-7.876e-05,
3.514,-0.0001688,-0.0004468,-8.345e-05,
3.516,-0.000152,-0.0004827,-8.643e-05,
3.529,3.496e-05,-0.0003489,-8.55e-05,
3.532,4.881e-05,-0.0003869,-8.976e-05,
3.547,8.296e-05,-0.0004731,-9.94e-05,
3.551,0.0001006,-0.0005193,-0.000105,
3.561,4.511e-06,-0.0004087,-0.0001586,
3.563,1.952e-05,-0.0004678,-0.0001691,
3.581,4.781e-05,-0.000568,-0.0001916,
3.583,6.054e-05,-0.0006136,-0.0002035,
3.592,1.125e-06,-0.0002655,-0.0001218,
3.594,8.611e-07,-0.0002839,-0.0001256,
3.607,-5.239e-06,-0.0003765,-0.0001392,
3.61,-8.74e-06,-0.0004132,-0.0001427,
3.621,-0.0001035,-0.0002087,-6.585e-05,
3.624,-0.0001048,-0.0002283,-6.607e-05,
3.638,-0.0001054,-0.0002703,-6.606e-05,
3.641,-0.0001066,-0.0002942,-6.609e-05,
3.654,-5.023e-05,-0.0002163,-5.047e-05,
3.656,-5.603e-05,-0.0002397,-4.88e-05,
3.668,-8.158e-05,-0.0002979,-4.523e-05,
3.671,-8.111e-05,-0.0003289,-4.328e-05,
3.684,-9.759e-05,-0.0003905,-3.929e-05,
3.687,-0.0001453,-0.0001926,-4.295e-05,
3.701,-0.0001693,-0.0002462,-4.529e-05,
3.703,-0.0001838,-0.0002731,-4.421e-05,
3.715,-0.0002034,-0.0003343,-4.489e-05,
3.718,-0.0001431,-0.0001913,-4.012e-05,
3.731,-0.0001579,-0.0002394,-4.393e-05,
3.733,-0.0001651,-0.0002672,-4.644e-05,
3.747,-0.0001791,-0.0003237,-5.093e-05,
3.749,-0.0001866,-0.0003545,-5.317e-05,
3.762,-0.0001246,-0.0003409,-8.882e-05,
3.764,-0.0001274,-0.0003821,-9.419e-05,
3.777,-0.0001385,-0.0004715,-0.0001059,
3.779,-0.0001445,-0.0005173,-0.0001097,
3.791,-1.796e-05,-0.0002356,-5.632e-05,
3.794,-2.14e-05,-0.0002588,-5.641e-05,
3.808,-3.513e-05,-0.0003158,-5.658e-05,
3.811,-4.208e-05,-0.0003529,-5.831e-05,
3.823,-0.0003036,-0.0001236,-0.0001116,
3.825,-0.0003234,-0.0001458,-0.00012,
3.839,-0.0003518,-0.0001945,-0.0001378,
3.841,-0.0003636,-0.0002149,-0.0001474,
3.854,-0.000279,-0.0001089,-8.303e-05,
3.857,-0.0002809,-0.0001272,-8.541e-05,
3.871,-0.0002703,-0.0001693,-9.14e-05,
3.873,-0.0002642,-0.0001947,-9.485e-05,
3.886,4.445e-05,-0.0002381,-4.228e-05,
3.888,8.739e-05,-0.0002825,-4.135e-05,
3.902,0.0001557,-0.0003719,-4.091e-05,
3.904,0.0002101,-0.0004632,-4.222e-05,
3.916,0.0002358,-0.0005114,-4.349e-05,
3.918,7.033e-05,-0.0001638,-5.736e-05,
3.934,8.766e-05,-0.0002014,-6.267e-05,
3.937,0.0001116,-0.000247,-6.603e-05,
3.948,0.0001319,-0.0003138,-7.377e-05,
3.95,-8.128e-05,-0.0002316,-0.0001075,
3.982,-6.662e-07,-0.0004272,-0.0001359,
3.984,-8.992e-06,-0.0001774,-5.046e-05,
3.996,-3.323e-05,-0.0002378,-4.709e-05,
3.998,-4.371e-05,-0.0002676,-4.595e-05,
4.013,-7.369e-05,-0.0003348,-4.52e-05,
4.015,-8.44e-05,-0.0003702,-4.552e-05,
4.028,-0.0003843,-0.0001589,-0.0001167,
4.03,-0.000403,-0.0001871,-0.0001246,
4.057,-0.000285,-0.0001119,-8.215e-05,
4.06,-0.0002908,-0.0001316,-8.58e-05,
4.073,-0.0003078,-0.0001705,-9.595e-05,
4.076,-0.0003167,-0.0001919,-0.0001022,
4.089,-9.673e-05,-0.0001589,-9.34e-05,
4.092,-8.243e-05,-0.0001878,-9.822e-05,
4.105,-6.023e-05,-0.000251,-0.0001076,
4.108,-4.919e-05,-0.0002856,-0.0001123,
4.121,-0.0001334,-0.000222,-6.782e-05,
4.124,-0.0001275,-0.0002723,-6.825e-05,
4.135,-0.0001205,-0.0003666,-6.846e-05,
4.137,-0.0001131,-0.0004041,-6.83e-05,
4.15,-5.921e-05,-0.0001222,-3.19e-05,
4.153,-6.206e-05,-0.0001505,-3.222e-05,
4.166,-5.777e-05,-0.000215,-3.363e-05,
4.168,-5.52e-05,-0.0002504,-3.501e-05,
4.182,-3.162e-05,-8.928e-05,-6.731e-05,
4.185,-2.946e-05,-0.0001129,-7.237e-05,
4.197,-2.783e-05,-0.0001613,-8.184e-05,
4.201,-2.651e-05,-0.0001882,-8.647e-05,
4.214,-2.374e-05,-0.0002475,-9.702e-05,
4.216,-2.788e-05,-9.369e-05,-7.215e-05,
4.228,-2.055e-05,-0.0001347,-8.117e-05,
4.231,-1.942e-05,-0.0001596,-8.623e-05,
4.246,-0.0003241,-7.244e-05,-0.0001287,
4.248,-0.0003426,-8.767e-05,-0.0001407,
4.259,-0.000388,-0.0001184,-0.0001643,
4.262,-0.0004111,-0.0001398,-0.0001771,
4.274,-0.0004575,-0.0002009,-0.0002003,
4.276,-0.0001389,-8.359e-05,-1.961e-05,
4.289,-0.000142,-0.0001324,-1.03e-05,
4.292,-0.0001438,-0.0001593,-5.056e-06,
4.306,-0.0001425,-0.0002159,4.226e-06,
4.308,-0.0001423,-0.0002473,8.489e-06,
4.322,-0.0002715,-0.0001773,-9.001e-05,
4.325,-0.0002851,-0.0002115,-9.596e-05,
4.336,-0.0003075,-0.0002871,-0.0001087,
4.338,-0.0003201,-0.0003289,-0.0001157,
4.351,-8.17e-05,-0.0001483,-3.343e-05,
4.354,-7.39e-05,-0.0001726,-3.062e-05,
4.367,-6.627e-05,-0.0002716,-2.703e-05,
4.37,-6.468e-05,-0.0003101,-2.554e-05,
4.38,4.572e-05,-0.0001249,-3.392e-05,
4.382,9.656e-05,-0.000175,-3.533e-05,
4.395,0.0001195,-0.0002031,-3.661e-05,
4.398,-7.358e-05,-0.0001355,-6.309e-05,
4.411,-8.129e-05,-0.0001639,-6.515e-05,
4.413,-9.02e-05,-0.0001989,-6.846e-05,
4.426,-0.0001154,-0.0002885,-7.464e-05,
4.429,-0.0001298,-0.0003372,-7.75e-05,
4.442,-0.0003586,-0.0001227,-0.0001087,
4.444,-0.0003868,-0.0001598,-0.0001144,
4.457,-0.0004571,-0.0002431,-0.0001254,
4.46,-0.0004788,-0.0002797,-0.0001306,
4.473,-0.000529,-0.0003783,-0.0001407,
4.475,-0.0004293,-8.041e-05,-6.421e-05,
4.49,-0.0004953,-0.0001563,-6.506e-05,
4.492,-0.0005178,-0.000186,-6.516e-05,
4.503,-0.0005598,-0.0002515,-6.485e-05,
4.505,-0.0001256,-0.0002427,-1.914e-05,
4.519,-0.0001119,-0.0003204,-7.613e-06,
4.522,-0.0001048,-0.0003602,-1.6e-06,
4.536,-9.257e-05,-0.0004391,1.094e-05,
4.539,-4.238e-05,-0.0002553,-5.195e-05,
4.55,-2.571e-05,-0.0003194,-5.11e-05,
4.553,-1.909e-05,-0.0003558,-5.087e-05,
4.567,-3.972e-06,-0.0004337,-5.146e-05,
4.57,2.957e-06,-0.0004741,-5.229e-05,
4.582,0.0001103,-0.0001724,-6.494e-05,
4.584,0.0001176,-0.0001973,-6.758e-05,
4.596,0.0001407,-0.0002558,-7.406e-05,
4.599,-3.162e-05,-9.829e-05,-8.806e-05,
4.613,-2.713e-05,-0.0001165,-9.439e-05,
4.615,-2.077e-05,-0.0001385,-0.0001011,
4.63,-1.15e-05,-0.0001863,-0.0001154,
4.633,-9.919e-06,-0.0002142,-0.0001214,
4.642,-0.0001018,-0.000139,-7.865e-05,
4.644,-0.0001067,-0.0001651,-8.269e-05,
4.658,-0.0001248,-0.000235,-9.185e-05,
4.661,-0.0001447,-0.0003139,-0.0001024,
4.674,-0.0001625,-0.0002757,-9.511e-05,
4.677,-0.0001989,-0.0003519,-0.000103,
4.691,-0.000222,-0.0003863,-0.0001067,
4.693,-0.0002349,-0.0004279,-0.0001129,
4.706,1.681e-05,-0.0001413,-5.499e-05,
4.709,2.399e-05,-0.0001668,-5.565e-05,
